timestamp,current,capacity
2026-02-19T18:57:47.976Z,32,38
2026-02-19T19:28:34.238Z,23,38
2026-02-19T19:59:23.847Z,12,38
2026-02-19T20:41:36.899Z,1,38
2026-02-19T21:16:35.197Z,0,38
2026-02-19T21:51:43.171Z,0,38
2026-02-19T22:29:14.950Z,0,38
2026-02-19T23:01:13.478Z,0,38
2026-02-19T23:42:36.085Z,0,38
2026-02-20T00:02:07.972Z,0,38
2026-02-20T02:52:50.233Z,0,38
2026-02-20T04:45:24.293Z,0,38
2026-02-20T05:42:57.475Z,0,38
2026-02-20T06:37:05.130Z,0,38
2026-02-20T07:35:21.116Z,0,38
2026-02-20T08:06:17.839Z,0,38
2026-02-20T08:57:11.080Z,0,38
2026-02-20T09:45:39.419Z,0,38
2026-02-20T10:22:44.254Z,0,38
2026-02-20T11:04:39.368Z,0,38
2026-02-20T11:43:36.706Z,0,38
2026-02-20T12:03:01.874Z,0,38
2026-02-20T13:22:13.994Z,12,38
2026-02-20T14:10:39.137Z,19,38
2026-02-20T15:02:47.864Z,18,38
2026-02-20T15:51:25.072Z,23,38
2026-02-20T16:36:27.454Z,21,38
2026-02-20T17:22:07.883Z,29,38
2026-02-20T18:01:54.243Z,28,38
2026-02-20T19:03:06.103Z,15,38
2026-02-20T19:45:24.349Z,8,38
2026-02-20T20:01:28.958Z,2,38
2026-02-20T20:46:50.800Z,0,38
2026-02-20T21:02:06.314Z,0,38
2026-02-20T21:37:16.271Z,0,38
2026-02-20T21:55:14.110Z,0,38
2026-02-20T22:24:05.034Z,0,38
2026-02-20T22:54:22.133Z,0,38
2026-02-20T23:26:49.000Z,0,38
2026-02-20T23:52:22.613Z,0,38
2026-02-21T01:51:21.814Z,0,38
2026-02-21T04:05:33.184Z,0,38
2026-02-21T05:55:12.416Z,0,38
2026-02-21T06:39:50.052Z,0,38
2026-02-21T07:20:03.012Z,0,38
2026-02-21T07:47:45.414Z,0,38
2026-02-21T08:45:10.256Z,0,38
2026-02-21T09:14:29.941Z,1,38
2026-02-21T09:46:44.613Z,4,38
2026-02-21T10:00:43.857Z,5,38
2026-02-21T10:38:11.748Z,14,38
2026-02-21T10:58:10.166Z,13,38
2026-02-21T11:46:56.701Z,18,38
2026-02-21T11:58:18.489Z,17,38
2026-02-21T13:04:01.815Z,7,38
2026-02-21T13:50:21.210Z,15,38
2026-02-21T14:14:10.917Z,18,38
2026-02-21T14:46:39.737Z,18,38
2026-02-21T15:02:20.617Z,20,38
2026-02-21T15:36:28.673Z,23,38
2026-02-21T16:23:48.197Z,23,38
2026-02-21T16:54:14.862Z,22,38
2026-02-21T17:21:42.908Z,16,38
2026-02-21T17:47:54.181Z,11,38
2026-02-21T18:00:54.610Z,7,38
2026-02-21T18:50:36.253Z,0,38
2026-02-21T19:14:38.322Z,0,38
2026-02-21T19:39:37.774Z,0,38
2026-02-21T19:54:43.684Z,0,38
2026-02-21T20:21:50.999Z,0,38
2026-02-21T20:45:18.243Z,0,38
2026-02-21T21:00:19.060Z,0,38
2026-02-21T21:33:12.140Z,0,38
2026-02-21T21:51:19.362Z,0,38
2026-02-21T22:11:34.932Z,0,38
2026-02-21T22:43:56.186Z,0,38
2026-02-21T23:00:10.796Z,0,38
2026-02-21T23:33:50.869Z,0,38
2026-02-21T23:52:35.928Z,0,38
2026-02-22T03:44:49.813Z,0,38
2026-02-22T05:09:38.435Z,0,38
2026-02-22T06:04:30.174Z,0,38
2026-02-22T07:03:26.845Z,0,38
2026-02-22T07:45:49.675Z,0,38
2026-02-22T08:01:13.731Z,0,38
2026-02-22T08:46:11.854Z,0,38
2026-02-22T09:15:24.971Z,13,38
2026-02-22T09:48:58.095Z,28,38
2026-02-22T10:01:37.711Z,26,38
2026-02-22T10:37:57.609Z,29,38
2026-02-22T11:27:34.638Z,20,38
2026-02-22T11:46:26.967Z,10,38
2026-02-22T13:03:48.721Z,24,38
2026-02-22T13:51:11.477Z,15,38
2026-02-22T14:15:33.567Z,17,38
2026-02-22T14:47:19.473Z,25,38
2026-02-22T15:36:43.332Z,29,38
2026-02-22T15:54:47.272Z,27,38
2026-02-22T16:27:06.293Z,28,38
2026-02-22T16:57:19.205Z,38,38
2026-02-22T17:29:37.839Z,31,38
2026-02-22T17:53:09.011Z,16,38
2026-02-22T19:00:39.636Z,0,38
2026-02-22T19:33:46.704Z,0,38
2026-02-22T19:51:22.048Z,0,38
2026-02-22T20:13:06.533Z,0,38
2026-02-22T20:44:52.721Z,0,38
2026-02-22T21:01:56.764Z,0,38
2026-02-22T21:34:51.440Z,0,38
2026-02-22T21:53:00.440Z,0,38
2026-02-22T22:16:36.431Z,0,38
2026-02-22T22:46:05.956Z,0,38
2026-02-22T23:02:00.060Z,0,38
2026-02-22T23:36:56.465Z,0,38
2026-02-22T23:56:19.652Z,0,38
2026-02-23T02:26:17.403Z,0,38
2026-02-23T04:36:12.549Z,0,38
2026-02-23T05:51:24.723Z,0,38
2026-02-23T06:52:00.283Z,0,38
2026-02-23T07:46:57.784Z,0,38
2026-02-23T08:32:13.065Z,0,38
2026-02-23T09:33:28.390Z,0,38
2026-02-23T10:31:34.183Z,0,38
2026-02-23T11:23:46.473Z,0,38
2026-02-23T11:58:07.698Z,0,38
2026-02-23T13:21:04.460Z,6,38
2026-02-23T14:15:53.322Z,19,38
2026-02-23T15:09:41.661Z,34,38
2026-02-23T16:02:17.840Z,28,38
2026-02-23T17:12:44.886Z,17,38
2026-02-23T18:12:50.852Z,10,38
2026-02-23T19:32:33.888Z,30,38
2026-02-23T20:08:33.158Z,18,38
2026-02-23T21:01:08.517Z,0,38
2026-02-23T21:56:45.821Z,0,38
2026-02-23T22:43:03.184Z,0,38
2026-02-23T23:22:14.634Z,0,38
2026-02-24T01:01:08.961Z,0,38
2026-02-24T03:42:04.551Z,0,38
2026-02-24T05:13:07.613Z,0,38
2026-02-24T06:14:07.075Z,0,38
2026-02-24T07:18:14.512Z,0,38
2026-02-24T08:03:20.560Z,0,38
2026-02-24T09:02:56.891Z,0,38
2026-02-24T10:04:53.654Z,0,38
2026-02-24T11:03:50.352Z,0,38
2026-02-24T11:51:45.761Z,0,38
2026-02-24T12:38:21.059Z,0,38
2026-02-24T13:57:04.756Z,19,38
2026-02-24T14:54:39.622Z,23,38
2026-02-24T15:55:11.680Z,21,38
2026-02-24T17:05:39.772Z,19,38
2026-02-24T18:09:05.242Z,25,38
2026-02-24T19:17:40.049Z,29,38
2026-02-24T19:54:38.045Z,12,38
2026-02-24T20:32:07.558Z,1,38
2026-02-24T21:05:22.055Z,0,38
2026-02-24T21:49:33.377Z,0,38
2026-02-24T22:19:07.361Z,0,38
2026-02-24T22:56:07.243Z,0,38
2026-02-24T23:33:38.974Z,0,38
2026-02-24T23:58:57.179Z,0,38
2026-02-25T02:53:14.473Z,0,38
2026-02-25T04:48:40.919Z,0,38
2026-02-25T05:51:24.601Z,0,38
2026-02-25T06:49:03.196Z,0,38
2026-02-25T08:30:00.946Z,0,38
2026-02-25T09:30:57.929Z,0,38
2026-02-25T10:31:13.232Z,0,38
2026-02-25T11:25:17.531Z,0,38
2026-02-25T11:59:23.660Z,0,38
2026-02-25T13:26:26.715Z,20,38
2026-02-25T14:32:22.641Z,27,38
2026-02-25T16:46:12.515Z,20,38
2026-02-25T17:45:25.469Z,24,38
2026-02-25T18:43:36.760Z,36,38
2026-02-25T19:40:43.850Z,19,38
2026-02-25T20:05:59.287Z,11,38
2026-02-25T20:52:56.327Z,0,38
2026-02-25T21:28:54.220Z,0,38
2026-02-25T21:59:30.004Z,0,38
2026-02-25T22:44:21.334Z,0,38
2026-02-25T23:16:26.389Z,0,38
